Liste de la plupart des diodes utilisées :

Reference:	Description:
1K60	GE-D 45V 35mA/0.2Ap
1N1022	GE-D 380V 0.3A
1N1023	GE-D 380V 0.35A
1N1024	GE-D 380V 0.4A
1N1028	SI-D 50V 0.5A
1N1029	SI-D 100V 0.5A
1N1030	SI-D 150V 0.5A
1N1031	SI-D 200V 0.5A
1N1032	SI-D 300V 0.5A
1N1033	SI-D 400V 0.5A
1N1034	SI-D 50V 1A
1N1035	SI-D 100V 1A
1N1036	SI-D 150V 1A
1N1037	SI-D 200V 1A
1N1038	SI-D 300V 1A
1N1039	SI-D 400V 1A
1N1040	SI-D 50V 1A
1N1041	SI-D 100V 1A
1N1042	SI-D 150V 1A
1N1043	SI-D 200V 1A
1N1044	SI-D 300V 1A
1N1045	SI-D 400V 1A
1N1046	SI-D 50V 1A
1N1047	SI-D 100V 1A
1N1048	SI-D 150V 1A
1N1049	SI-D 200V 1A
1N1050	SI-D 300V 1A
1N1051	SI-D 400V 1A
1N1052	SI-D 50V 1.5A
1N1053	SI-D 100V 1.5A
1N1054	SI-D 150V 1.5A
1N1055	SI-D 200V 1.5A
1N1056	SI-D 300V 1.5A
1N1057	SI-D 400V 1.5A
1N1058	SI-D 50V 5A
1N1059	SI-D 100V 5A
1N1060	SI-D 150V 5A
1N1061	SI-D 200V 5A
1N1062	SI-D 300V 5A
1N1063	SI-D 400V 5A
1N1064	SI-D 50V 5A
1N1065	SI-D 100V 5A
1N1066	SI-D 150V 5A
1N1067	SI-D 200V 5A
1N1068	SI-D 300V 5A
1N1069	SI-D 400V 5A
1N1070	SI-D 50V 5A
1N1071	SI-D 100V 5A
1N1072	SI-D 150V 5A
1N1073	SI-D 200V 5A
1N1074	SI-D 300V 5A
1N1075	SI-D 400V 5A
1N1076	SI-D 50V 15A
1N1077	SI-D 100V 15A
1N1078	SI-D 150V 15A
1N1079	SI-D 200V 15A
1N1080	SI-D 300V 15A
1N1093	GE-D 15V 500ns
1N1095	SI-D 500V 0.75A
1N1096	SI-D 600V 0.75A
1N1100	SI-D 100V 0.75A
1N1101	SI-D 200V 0.75A
1N1102	SI-D 300V 0.75A
1N1103	SI-D 400V 0.75A
1N1104	SI-D 500V 0.75A
1N1105	SI-D 600V 0.75A
1N1108	SI-D 800V 0.45A
1N1109	SI-D 1200V 0.43A
1N1110	SI-D 1600V 0.4A
1N1111	SI-D 2000V 0.38A
1N1112	SI-D 2400V 0.35A
1N1113	SI-D 2800V 0.33A
1N1115	SI-D 100V 1.5A
1N1116	SI-D 200V 1.5A
1N1117	SI-D 300V 1.5A
1N1118	SI-D 400V 1.5A
1N1119	SI-D 500V 1.5A
1N1120	SI-D 600V 1.5A
1N1130	SI-D 1500V 0.3A
1N1131	SI-D 1500V 0.3A
1N1133	SI-D 1.5KV 0.075A
1N1134	SI-D 1.5KV 0.1A
1N1135	SI-D 1.8KV 0.065A
1N1136	SI-D 1.8KV 0.085A
1N1137	SI-D 2.4KV 0.05A
1N1138	SI-D 2.4KV 0.06A
1N1139	SI-D 3.6KV 0.065A
1N1140	SI-D 3.6KV 0.065A
1N1141	SI-D 4.8KV 0.06A
1N1142	SI-D 4.8KV 0.05A
1N1143	SI-D 6KV 0.05A
1N1143A	SI-D 6KV 0.065A
1N1144	SI-D 7.2KV 0.05A
1N1145	SI-D 7.2KV 0.06A
1N1146	SI-D 8KV 0.045A
1N1147	SI-D 12KV 0.045A
1N1148	SI-D 14KV 0.05A
1N1149	SI-D 16KV 0.045A
1N1157	SI-D 50V 20A
